,text,score
183,test was good..but you have to include green chatni....,pos
184,very good service and food,pos
185,THE BUTTER WAS DELICIOUS!!! WELL DONE!😍😍,pos
186,Bombay vadapau😋,pos
187,Good taste and value for money.Preserve this quality of vadapav.Nowadays quality of vadapavs is decreasing...Shreeji is best in Vadapavs,pos
188,nice,pos
189,ok,pos
190,GOOD,pos
191,Vadapav was not good,neg
192,mast,pos
193,GOOD SERVICE PROVIDE BY ZOMATO,pos
194,Today the sandwiches were over grilled and it seems that the filling was not freshly prepared. Not liked them today.,neg
195,worst,neg
196,good service,pos
197,ok,pos
198,good,pos
199,You should work on packaging the food !,pos
200,mast,pos
201,did not get a green chutney which are required in an vadapav as well as delivery are not on time so the vadapav get cold.,pos
202,Good food,pos
203,Ordered twice then too received the food uncovered after we shared the same to the zomatoo delivery executive he said packing doesn't come under his job profile worst service support,pos
204,very spicy not a bombay style....poor quality,pos
205,good,pos
206,Actual ahmedabdi taste of vadapav dey serve Quality 3/5 Taste 4/5 Ambiance 1/5(fast-food shop only no dining) Cleanliess 1/5 (need to be place clean staff also have to be clean),pos
207,I shall regularly order with Zomato if this is the Quality. Was upto the mark.,pos
208,One of the best vadapau in town. Try butter vadapau. It's amazing Service 5/5 Teste 5/5 Cleanness 2.5/5 P.S- Needs improvement for cleanness of shop.,pos
209,The food was upto the mark.Shreejikrupa dint disappoint as usual.,neg
210,mast..,pos
211,Ordered vada pav and it was good as usual..... Quality was good as expected btt the food was nt on time... Bit late which can be improved... Btt overall it was nice.... Happy ordering in zomato.. Thanks 👍👍😉,pos
212,had pieces of paper inside pizza. I have images of same and was about to complaint to provider.,neg
213,Loved the vadapav. The sandwich was good and the pizza was okayish. I got the butter vadapav and it was heavenly. I used to have it a long time back and it still tastes fantastic.,pos
214,very bad taste.,neg
215,Extraordinary vadapavs...BEST VADAPAV IN AHMEDABAD...MUST TRY...I AM A REGULAR CUSTOMER AND I LOVE IT.I DONT KNOW WHY ZOMATO DIDNT REVIEW IT EARLIER...,pos
